scenario,n_rows,rmse,mae,r2,mean_prediction
original,610,19.05466021279371,14.000361604397552,0.5562698787419018,179.63112532931183
A,610,20.975674345785148,16.032462175392446,0.4622896986782794,185.6137521128087
AB,610,22.11291071483699,17.202057916766705,0.402403125030364,188.00959819595113
ABC,610,21.472854997715242,16.531035550827514,0.43649720332898545,185.71145662150573
